rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Phillip Reynolds (LEQPxHunters),3,1687,987284,L&rsquo;Equipe Provence,231d68,b1d9b8,00:37:39,1687,3,-,-,-,-,-,-,-,-,-,-,-,-,00:37:39
Daniel Kent,4,1585,5119381,Team Not Pogi,ff0000,ffffff,00:39:06,1585,4,-,-,-,-,-,-,-,-,-,-,-,-,00:39:06
Pedro Leal,8,876,2292674,-,00dd00,,00:42:05,876,8,-,-,-,-,-,-,-,-,-,-,-,-,00:42:05
Michael Leesing,4,1627,6014895,TBR Racing,ffffff,709c86,00:33:37,1627,4,-,-,-,-,-,-,-,-,-,-,-,-,00:33:37
Luke van Harskamp,4,1634,7410098,-,00dd00,,00:34:08,1417,5,00:52:44,1441,5,00:17:31,1604,4,01:29:57,1634,4,-,-,-,03:14:20
sheldon White (BAKPDL B3),4,1543,1583793,BAKPDL,000000,ffffff,00:39:05,1543,4,-,-,-,-,-,-,-,-,-,-,-,-,00:39:05
Richard Finch,6,1177,7141546,-,00dd00,,00:39:08,1177,6,-,-,-,-,-,-,-,-,-,-,-,-,00:39:08
Justin Draper [Fellowship],5,1337,7455653,Team Not Pogi,ff0000,ffffff,00:39:08,1387,5,00:57:29,1381,5,00:21:46,1338,5,01:38:27,1337,5,-,-,-,03:36:50
Dirk Richter,5,1375,1014346,ZRG,1bc1f1,3d3d3d,00:39:08,1375,5,-,-,-,-,-,-,-,-,-,-,-,-,00:39:08
Andy Westall,5,1393,2711036,SWCC,ffffff,0073b7,00:40:55,1393,5,-,-,-,-,-,-,-,-,-,-,-,-,00:40:55
Cara Lockwood (RollCo),6,1231,6311848,RollCo,8b5cf6,f2f0ef,00:41:22,1203,6,-,-,-,00:19:54,1231,6,-,-,-,-,-,-,01:01:16
Mads Gronbek [DBR],5,1334,2560943,DBR,ffffff,213ed6,00:42:08,1322,5,-,-,-,-,-,-,01:37:21,1334,5,-,-,-,02:19:29
Ed Ferebee (Rhino),8,974,6842342,RHINO,ff66c4,272c52,00:43:00,958,8,01:02:07,959,8,00:22:56,965,8,01:44:56,974,8,-,-,-,03:52:59
Aidan Novis (RHINO),9,823,3228186,RHINO,ff66c4,272c52,00:44:09,807,9,01:02:21,806,9,00:23:16,806,9,01:47:18,823,9,-,-,-,03:57:04
Chris Shelton (OTR),2,1933,396741,OTR Racing,41ad92,000000,00:36:38,1926,2,00:52:58,1933,2,-,-,-,-,-,-,-,-,-,01:29:36
Ron Peterson,2,2009,2360016,LEVEL Esports,ffffff,5ce409,00:37:18,2009,2,-,-,-,-,-,-,-,-,-,-,-,-,00:37:18
Nathan Gerdts (SISU),4,1511,5523806,SISU Racing,ffffff,1f1582,00:39:03,1511,4,-,-,-,-,-,-,-,-,-,-,-,-,00:39:03
Brian Pryor,5,1343,3656,-,00dd00,,00:39:28,1343,5,-,-,-,-,-,-,-,-,-,-,-,-,00:39:28
Cristian Montero,5,1420,3053558,-,00dd00,,00:39:29,1420,5,-,-,-,-,-,-,-,-,-,-,-,-,00:39:29
Fernando 7567,6,1220,171120,-,00dd00,,00:41:32,1220,6,00:57:06,1220,6,-,-,-,-,-,-,-,-,-,01:38:38
Jorge Ar&eacute;valo,6,1235,4801108,Velo&#039;Z,ffffff,0073b7,00:39:27,1229,6,-,-,-,-,-,-,01:34:28,1235,6,-,-,-,02:13:55
Mailan Kimsuan [ZIRT],9,681,2505328,&#127470;&#127465; Z I R T,ffffff,ffa500,00:50:01,681,9,-,-,-,-,-,-,-,-,-,-,-,-,00:50:01
Jason Spiker (DDIRC),7,1050,6478454,-,00dd00,,00:43:33,1066,7,01:00:19,1056,7,00:23:25,1056,7,01:46:26,1050,7,-,-,-,03:53:43
Adrian ZC,8,900,5805064,Momentum CR,ffffff,289ff0,00:51:08,900,8,-,-,-,-,-,-,-,-,-,-,-,-,00:51:08
Leslie Koh,10,512,4175869,-,00dd00,,00:51:08,512,10,-,-,-,-,-,-,-,-,-,-,-,-,00:51:08
MNB,1,2357,2740804,Road2&#129412;,fff000,ff0000,-,-,-,00:51:09,2357,1,-,-,-,-,-,-,-,-,-,00:51:09
Jason Robinson,1,2230,733160,4STAR,c2a406,3434c9,-,-,-,00:51:58,2230,1,-,-,-,-,-,-,-,-,-,00:51:58
Rex  Tan,3,1710,378499,ZPH Philippines,ffffff,64e1f6,-,-,-,00:53:12,1710,3,-,-,-,-,-,-,-,-,-,00:53:12
Joshua Bramah,4,1488,762790,-,00dd00,,-,-,-,00:54:08,1488,4,-,-,-,-,-,-,-,-,-,00:54:08
Oliver Slowboi (TNP),3,1744,5070491,Team Not Pogi,ff0000,ffffff,-,-,-,00:54:11,1751,3,00:18:59,1744,3,-,-,-,-,-,-,01:13:10
Tony Cal [TSE],4,1496,2988740,TSE,c32323,f5fc72,00:37:42,1496,4,00:54:37,1495,4,-,-,-,-,-,-,-,-,-,01:32:19
Eugene Shuster,3,1663,2914276,-,00dd00,,-,-,-,01:03:19,1663,3,-,-,-,-,-,-,-,-,-,01:03:19
Shige Haru,7,1122,2719592,-,00dd00,,-,-,-,00:59:50,1122,7,-,-,-,-,-,-,-,-,-,00:59:50
Arif Wijayanto,9,813,141020,ZID,ffffff,0073b7,-,-,-,01:02:25,813,9,-,-,-,-,-,-,-,-,-,01:02:25
Genaro Nu&ntilde;ez,1,2543,2005596,RHINO,ff66c4,272c52,-,-,-,00:52:56,2543,1,-,-,-,-,-,-,-,-,-,00:52:56
Gary Forbes (TFC),3,1787,1216589,TFC,111111,f3f300,-,-,-,00:52:57,1787,3,-,-,-,-,-,-,-,-,-,00:52:57
Naohide Hamamoto [ZWC],2,1994,112188,TEAM ZWC,f70f66,140b0b,-,-,-,00:55:49,1994,2,-,-,-,-,-,-,-,-,-,00:55:49
mark R,3,1671,3922043,-,00dd00,,-,-,-,00:53:06,1671,3,-,-,-,-,-,-,-,-,-,00:53:06
Sam Mack (BPCC),3,1753,2235233,BPCC,150202,4bb65e,-,-,-,00:54:38,1753,3,-,-,-,-,-,-,-,-,-,00:54:38
Barrie &#128059;&#10084;&#65039;&#128060; (Rhino),3,1743,1686828,RHINO,ff66c4,272c52,-,-,-,00:57:24,1743,3,-,-,-,-,-,-,-,-,-,00:57:24
Travis  Gouchie,5,1383,425442,-,00dd00,,-,-,-,00:57:31,1383,5,-,-,-,-,-,-,-,-,-,00:57:31
Michael Lindsay,7,1022,29468,WMZ,d53535,991199,-,-,-,00:58:05,1022,7,-,-,-,-,-,-,-,-,-,00:58:05
Jamie Roy,6,1244,1516811,Stages Cycling,ffffff,0073b7,-,-,-,00:57:27,1244,6,-,-,-,-,-,-,-,-,-,00:57:27
Ron Clarino TeamODZ,8,965,222765,TeamODZ,ff851b,111111,-,-,-,01:05:08,965,8,-,-,-,-,-,-,-,-,-,01:05:08
Danny Postell GCC,9,655,1803114,-,00dd00,,-,-,-,01:05:25,655,9,-,-,-,-,-,-,-,-,-,01:05:25
Stuart  Campbell,3,1680,554716,-,00dd00,,-,-,-,00:55:09,1680,3,-,-,-,-,-,-,-,-,-,00:55:09
JV Allstar,4,1589,4658861,DIRT,29ec34,211208,-,-,-,00:55:10,1589,4,-,-,-,-,-,-,-,-,-,00:55:10
Tim van Reusel,5,1408,7326627,-,00dd00,,-,-,-,00:55:17,1408,5,-,-,-,-,-,-,-,-,-,00:55:17
Marc Singer,5,1335,4439897,T3 Philly,ffffff,0073b7,-,-,-,00:55:11,1335,5,-,-,-,-,-,-,-,-,-,00:55:11
L. auritz,1,2823,1411716,Team RWB,ffffff,11534e,-,-,-,00:46:29,2823,1,-,-,-,-,-,-,-,-,-,00:46:29
Nick Baberuxki,1,2848,432656,Talent:frei p/b Baldiso,070100,ffffff,-,-,-,00:46:30,2842,1,-,-,-,01:13:53,2848,1,-,-,-,02:00:23
Tibo Peeters,1,3446,8389020,-,00dd00,,-,-,-,00:46:30,3283,1,00:13:49,3406,1,01:07:02,3446,1,-,-,-,02:07:21
Yannik Magnussen,1,2390,6279252,-,00dd00,,-,-,-,00:46:31,2390,1,-,-,-,-,-,-,-,-,-,00:46:31
Thomas Grill (TSE),1,2433,2133020,TSE,c32323,f5fc72,-,-,-,00:46:31,2433,1,-,-,-,-,-,-,-,-,-,00:46:31
Jan Lichtwark,1,2576,1215790,eSRT,40bad1,000000,-,-,-,00:46:31,2576,1,-,-,-,-,-,-,-,-,-,00:46:31
Wib Wob,1,2613,6169388,&#129420; HCT &#129420;,ffcd00,006eb6,-,-,-,00:46:31,2613,1,-,-,-,-,-,-,-,-,-,00:46:31
Alexander Laustsen,1,2429,5175624,WSport,ffffff,0073b7,-,-,-,00:46:31,2429,1,-,-,-,-,-,-,-,-,-,00:46:31
Chris Bolwell,1,2515,3610784,RHINO,ff66c4,272c52,-,-,-,00:46:35,2515,1,-,-,-,-,-,-,-,-,-,00:46:35
Hugo Bled [A-P-V],1,2506,5323414,A-P-V,ffffff,0073b7,-,-,-,00:46:36,2506,1,-,-,-,-,-,-,-,-,-,00:46:36
Steven Garr&eacute; [WATT],1,2358,3605728,The Watt Squad,efbf04,161617,-,-,-,00:48:05,2358,1,-,-,-,-,-,-,-,-,-,00:48:05
&Oslash;yvind Str&oslash;msholm Pettersen [V],2,2179,4651511,Vikings,c2c2c2,0073b7,-,-,-,00:48:13,2179,2,-,-,-,-,-,-,-,-,-,00:48:13
Dominick Brookes [Freakshow],1,2254,51761,[DRAFT],ffffff,f70707,-,-,-,00:50:36,2254,1,-,-,-,-,-,-,-,-,-,00:50:36
Kester Dobson [SDW],2,2072,2871165,SDW,000000,f3f300,-,-,-,00:56:47,2072,2,-,-,-,-,-,-,-,-,-,00:56:47
Ryan Quinn,3,1743,6816163,-,00dd00,,-,-,-,00:50:36,1743,3,-,-,-,-,-,-,-,-,-,00:50:36
...  Steelo [GXY],4,1474,212407,[GALAXY],ffffff,7014f2,-,-,-,00:51:56,1474,4,-,-,-,-,-,-,-,-,-,00:51:56
Trevan Burn [Rhino],5,1328,5398854,RHINO,ff66c4,272c52,-,-,-,00:51:56,1328,5,-,-,-,-,-,-,-,-,-,00:51:56
Laurent Dumondelle&#9889;[Foudre],5,1398,2602856,&#9889;&#65039;Team Foudre&#9889;&#65039;,161c68,40bcff,-,-,-,00:51:57,1404,5,-,-,-,01:39:51,1398,5,-,-,-,02:31:48
Juan The One,4,1488,937639,Team Italy,dd4b39,ffffff,-,-,-,00:51:58,1488,4,-,-,-,-,-,-,-,-,-,00:51:58
Duncan Donnay,6,1285,5334082,-,00dd00,,-,-,-,00:52:00,1285,6,-,-,-,-,-,-,-,-,-,00:52:00
Ronny Holen [ZU4R],4,1561,281255,ZU4R eSport,ffffff,000000,-,-,-,00:52:01,1561,4,-,-,-,-,-,-,-,-,-,00:52:01
Stephen Collins,4,1497,12812,VRR,ffffff,0073b7,-,-,-,00:52:02,1497,4,-,-,-,-,-,-,-,-,-,00:52:02
Antonie Vervenne,4,1591,6997582,CMC,ffffff,ff0606,-,-,-,00:54:26,1591,4,-,-,-,-,-,-,-,-,-,00:54:26
Chris Cremer,3,1713,2396817,SISU Racing,ffffff,1f1582,-,-,-,00:54:58,1713,3,-,-,-,-,-,-,-,-,-,00:54:58
Marco Roetert Steenbruggen,3,1691,2878630,TeamNL,ffffff,ffa500,-,-,-,00:55:02,1691,3,-,-,-,-,-,-,-,-,-,00:55:02
D Welch,4,1520,467712,ROCA,ffffff,c02b44,-,-,-,00:55:02,1520,4,-,-,-,-,-,-,-,-,-,00:55:02
Christophe Chris [BIKES-FR],5,1401,6118343,-,00dd00,,-,-,-,00:50:43,1401,5,-,-,-,-,-,-,-,-,-,00:50:43
Adam Sternfield,6,1290,8198222,-,00dd00,,-,-,-,00:51:57,1290,6,-,-,-,-,-,-,-,-,-,00:51:57
Tom Bradley,7,1105,870613,-,00dd00,,-,-,-,00:55:00,1105,7,-,-,-,-,-,-,-,-,-,00:55:00
Zsolt Kun-Szabo,5,1328,1392843,-,00dd00,,-,-,-,00:55:01,1328,5,-,-,-,-,-,-,-,-,-,00:55:01
Steve Boon (GXY),7,1137,1538062,[GALAXY],ffffff,7014f2,-,-,-,00:55:01,1137,7,-,-,-,-,-,-,-,-,-,00:55:01
Shane King,6,1237,5254437,R4CF.,ff0000,ffffff,-,-,-,00:55:21,1237,6,-,-,-,-,-,-,-,-,-,00:55:21
Lorenzo Meciani (CAY),7,1073,1813848,Dogs-Pigs,1c0a0a,0ef283,-,-,-,00:56:49,1073,7,-,-,-,-,-,-,-,-,-,00:56:49
john hoffmann6976,6,1245,2498104,-,00dd00,,-,-,-,00:57:28,1245,6,-,-,-,-,-,-,-,-,-,00:57:28
Fabien V,6,1205,7812757,-,00dd00,,-,-,-,00:57:46,1205,6,-,-,-,-,-,-,-,-,-,00:57:46
Paul Potter (HERC),6,1281,2588094,HERC,ffffff,ff007f,-,-,-,00:57:58,1281,6,-,-,-,-,-,-,-,-,-,00:57:58
Carl,9,846,322205,DIRT,29ec34,211208,-,-,-,00:59:58,846,9,-,-,-,-,-,-,-,-,-,00:59:58
Artur Burdasz,8,959,323245,ZTPL.CC,ffffff,ff1800,-,-,-,01:01:29,959,8,-,-,-,-,-,-,-,-,-,01:01:29
psf,7,1044,6074299,WCC,ffffff,f50e0e,-,-,-,01:01:37,1044,7,-,-,-,-,-,-,-,-,-,01:01:37
Brian Benner (HERC),8,882,5491339,HERC,ffffff,ff007f,-,-,-,01:01:29,856,8,00:24:42,844,9,02:01:47,882,8,-,-,-,03:27:58
Robert Armitage  Herc,9,713,1188059,HERC,ffffff,ff007f,-,-,-,01:03:30,713,9,-,-,-,-,-,-,-,-,-,01:03:30
&#321;ukasz Karasi&#324;ski,10,412,8275344,-,00dd00,,-,-,-,01:09:47,412,10,-,-,-,-,-,-,-,-,-,01:09:47
Benjamin Sommervoll,9,684,5906097,-,00dd00,,-,-,-,01:01:29,684,9,-,-,-,-,-,-,-,-,-,01:01:29
Ray McCaughey TNP,1,2645,113282,Team Not Pogi,ff0000,ffffff,00:33:58,2645,1,00:48:55,2654,1,00:15:34,2661,1,-,-,-,-,-,-,01:38:27
Quentin Vee [EVO],2,2069,5402095,EVOLUTION,ff09ff,2e1c1c,00:33:57,2069,2,00:48:56,2090,2,00:16:21,2091,2,01:19:46,2085,2,-,-,-,02:59:00
Tom R Everested  (TNP),2,1870,374410,BIKELY,ffffff,000000,00:33:57,1870,3,00:48:56,1908,2,00:17:09,1914,2,01:24:12,1909,2,-,-,-,03:04:14
Jacob Ingram,2,2019,88513,EVOLUTION,ff09ff,2e1c1c,00:33:57,2019,2,00:48:56,2032,2,00:18:56,2019,2,01:19:45,2024,2,-,-,-,03:01:34
Den Morrison,2,2072,679077,DIRT,29ec34,211208,00:33:58,2072,2,00:48:57,2072,2,-,-,-,-,-,-,-,-,-,01:22:55
Ben Howell,2,2032,2213032,-,00dd00,,00:34:05,2032,2,00:48:58,2038,2,00:15:45,2055,2,01:14:32,2071,2,-,-,-,02:53:20
Mark Redfern [EVO],3,1866,394612,EVOLUTION,ff09ff,2e1c1c,00:36:39,1866,3,00:49:45,1866,3,-,-,-,01:25:27,1854,3,-,-,-,02:51:51
Jens Liljekrok [OUT]&#128023;,2,2150,825891,OUT,f1dd38,000080,-,-,-,00:48:56,2150,2,-,-,-,-,-,-,-,-,-,00:48:56
Blair Rouse KSBT,4,1632,350918,-,00dd00,,-,-,-,00:48:58,1632,4,-,-,-,-,-,-,-,-,-,00:48:58
Nikolay Hristozov,4,1514,4864134,SISU Racing,ffffff,1f1582,-,-,-,00:51:36,1514,4,-,-,-,-,-,-,-,-,-,00:51:36
Tim Baldwin,4,1474,2797292,-,00dd00,,-,-,-,00:52:43,1474,4,-,-,-,-,-,-,-,-,-,00:52:43
Corey Green (YT) GarageCycling,5,1376,4166463,-,00dd00,,00:38:02,1376,5,00:53:14,1375,5,00:20:41,1368,5,01:33:50,1385,5,-,-,-,03:25:47
Casey Morgan,4,1499,7513624,-,00dd00,,-,-,-,00:53:14,1499,4,-,-,-,-,-,-,-,-,-,00:53:14
ts &#128737;&#65039;[HERC],5,1312,2881429,HERC,ffffff,ff007f,-,-,-,00:54:40,1311,5,00:20:55,1312,5,01:50:59,1312,5,-,-,-,03:06:34
Kasper Steadywheel,5,1367,7589756,-,00dd00,,-,-,-,00:54:41,1367,5,-,-,-,-,-,-,-,-,-,00:54:41
Suzie &#128006;&#128142;,4,1539,1005102,HERC,ffffff,ff007f,00:38:07,1539,4,00:54:45,1518,4,00:18:45,1529,4,01:34:39,1526,4,-,-,-,03:26:16
Neil Rogers,5,1372,1236596,[GALAXY],ffffff,7014f2,00:39:16,1372,5,00:54:51,1354,5,00:20:30,1355,5,-,-,-,-,-,-,01:54:37
Jerome Wigger,7,1125,746687,-,00dd00,,-,-,-,01:00:48,1125,7,-,-,-,-,-,-,-,-,-,01:00:48
Richard Emblen,6,1296,3083458,HERC,ffffff,ff007f,-,-,-,00:54:44,1296,6,-,-,-,-,-,-,-,-,-,00:54:44
3 Javier (HERC),6,1242,2297188,HERC,ffffff,ff007f,00:39:21,1242,6,00:54:44,1242,6,-,-,-,-,-,-,-,-,-,01:34:05
David Irwin,7,1060,7779078,HERC,ffffff,ff007f,00:41:03,1060,7,00:54:45,1077,7,00:21:29,1076,7,01:38:23,1085,7,-,-,-,03:35:40
Nick Kelly [4STAR],6,1180,6208865,4STAR,c2a406,3434c9,-,-,-,00:54:46,1180,6,-,-,-,-,-,-,-,-,-,00:54:46
Simon  Harvey,7,1034,5530576,COALITION,ffffff,ff00ff,-,-,-,00:57:29,1034,7,-,-,-,-,-,-,-,-,-,00:57:29
david white (HERC),7,1095,1379058,HERC,ffffff,ff007f,00:41:04,1095,7,00:57:29,1091,7,00:23:10,1075,7,01:50:55,1068,7,-,-,-,03:52:38
oliver johnson,6,1239,5469869,-,00dd00,,-,-,-,00:57:29,1239,6,-,-,-,-,-,-,-,-,-,00:57:29
Ryan Dagooc,6,1205,1640002,4STAR,c2a406,3434c9,-,-,-,00:57:30,1205,6,-,-,-,-,-,-,-,-,-,00:57:30
Kim YUU,8,881,6513233,HERC,ffffff,ff007f,-,-,-,00:59:34,881,8,-,-,-,-,-,-,-,-,-,00:59:34
Ant Vine,8,881,4327638,HERC,ffffff,ff007f,-,-,-,00:57:32,881,8,-,-,-,-,-,-,-,-,-,00:57:32
sean carter [WMZ],9,843,7283905,WMZ,d53535,991199,-,-,-,00:57:32,843,9,-,-,-,-,-,-,-,-,-,00:57:32
Stephen Groundwater [HERC),8,808,3294901,HERC,ffffff,ff007f,00:45:22,808,9,00:57:48,807,9,00:25:01,786,9,01:53:24,868,8,-,-,-,04:01:35
Jason Gillespie (Orkney CC),9,844,6001405,-,00dd00,,-,-,-,00:58:46,844,9,-,-,-,-,-,-,-,-,-,00:58:46
Claire Greensides [HERC],8,884,2648548,HERC,ffffff,ff007f,-,-,-,00:59:34,887,8,00:24:57,884,8,-,-,-,-,-,-,01:24:31
Vonita,8,946,832585,HERC,ffffff,ff007f,00:41:05,946,8,00:59:34,915,8,00:22:28,925,8,01:51:00,915,8,-,-,-,03:54:07
Tom Been,1,2322,2185142,CONED,ffffff,343844,-,-,-,00:50:40,2322,1,-,-,-,-,-,-,-,-,-,00:50:40
Wolfi Mayer,1,2362,4589415,-,00dd00,,-,-,-,00:50:40,2362,1,-,-,-,-,-,-,-,-,-,00:50:40
Andrea Tritto (ITA),1,2350,4832739,Team Italy,dd4b39,ffffff,-,-,-,00:50:46,2350,1,-,-,-,-,-,-,-,-,-,00:50:46
Mads K&uuml;hn,2,2089,918014,POW.&#1071;,75c4e2,28303a,-,-,-,00:51:42,2089,2,-,-,-,-,-,-,-,-,-,00:51:42
Johan Olivier,2,2088,418891,CMC,ffffff,ff0606,-,-,-,00:51:48,2088,2,-,-,-,-,-,-,-,-,-,00:51:48
Benjamin Howe,4,1560,5143203,-,00dd00,,-,-,-,00:52:28,1560,4,-,-,-,-,-,-,-,-,-,00:52:28
Reinhold Brezovszky [HERC/FS],6,1198,25,HERC,ffffff,ff007f,00:38:37,1198,6,00:52:58,1221,6,00:20:56,1223,6,01:37:55,1225,6,-,-,-,03:30:26
Morten  Bach  Jepsen,6,1280,1846053,DBR,ffffff,213ed6,-,-,-,00:52:59,1280,6,-,-,-,-,-,-,-,-,-,00:52:59
Fredrik Ringstr&ouml;m [SZ],5,1325,83438,SZ,ffffff,285697,-,-,-,00:53:26,1319,5,-,-,-,01:35:31,1325,5,-,-,-,02:28:57
L Andersen,6,1213,7537822,-,00dd00,,-,-,-,00:57:53,1213,6,-,-,-,-,-,-,-,-,-,00:57:53
Christopher Lindskjold,6,1154,127887,DBR,ffffff,213ed6,-,-,-,00:58:18,1154,6,-,-,-,-,-,-,-,-,-,00:58:18
Luke O&#039;Connor,6,1169,781031,Tamworth CC,ffffff,0e9df2,-,-,-,01:04:59,1169,6,-,-,-,-,-,-,-,-,-,01:04:59
Alan Robertson,6,1178,5609162,Team Not Pogi,ff0000,ffffff,-,-,-,01:05:05,1178,6,-,-,-,-,-,-,-,-,-,01:05:05
PORK CHOP,3,1790,2541068,-,00dd00,,-,-,-,-,-,-,00:17:44,1790,3,-,-,-,-,-,-,00:17:44
Lance Loveday (Victory Velo Racing),4,1618,35500,Victory Velo Racing,ffffff,0073b7,-,-,-,-,-,-,00:18:34,1618,4,-,-,-,-,-,-,00:18:34
Steve D&#039;Alessandro (Coalition),9,758,5410692,COALITION,ffffff,ff00ff,-,-,-,-,-,-,00:30:36,758,9,-,-,-,-,-,-,00:30:36
Evan Bayer,1,2566,2264689,COALITION,ffffff,ff00ff,-,-,-,-,-,-,00:16:19,2566,1,-,-,-,-,-,-,00:16:19
Ethan Smith,2,1904,7721955,-,00dd00,,-,-,-,-,-,-,00:17:37,1904,2,-,-,-,-,-,-,00:17:37
F. Lofsgaard (Oslofjord),3,1833,2897364,-,00dd00,,-,-,-,-,-,-,00:17:06,1833,3,-,-,-,-,-,-,00:17:06
Chris Beardsell (TNP),4,1490,3785513,Team Not Pogi,ff0000,ffffff,-,-,-,-,-,-,00:19:26,1490,4,-,-,-,-,-,-,00:19:26
Matt Whisker,7,1103,4115593,-,00dd00,,-,-,-,-,-,-,00:20:44,1103,7,-,-,-,-,-,-,00:20:44
Matt Taylor (Charlies Angels Full Throttle),7,1007,1383115,CAFT,000000,ffffff,-,-,-,-,-,-,00:21:39,1007,7,-,-,-,-,-,-,00:21:39
Ryan Gower,9,661,5244070,-,00dd00,,-,-,-,-,-,-,00:25:22,661,9,-,-,-,-,-,-,00:25:22
Joe Limke,9,682,6977747,-,00dd00,,-,-,-,-,-,-,00:29:32,682,9,-,-,-,-,-,-,00:29:32
Joe Kierce,1,2230,7315891,-,00dd00,,-,-,-,-,-,-,00:15:47,2230,1,-,-,-,-,-,-,00:15:47
Jacob Krebs[LOK],1,2466,619959,-,00dd00,,-,-,-,-,-,-,00:16:21,2466,1,-,-,-,-,-,-,00:16:21
Chris St.,1,2554,397809,A-P-V,ffffff,0073b7,-,-,-,-,-,-,00:16:34,2554,1,-,-,-,-,-,-,00:16:34
Rolf Lautenbacher (Bollerwagen),4,1600,470505,Bollerwagen,64db14,0b0d09,-,-,-,-,-,-,00:18:54,1600,4,-,-,-,-,-,-,00:18:54
Mattias Wahlbeck [eSRT],1,2302,872970,eSRT,40bad1,000000,-,-,-,-,-,-,00:19:27,2302,1,-,-,-,-,-,-,00:19:27
Jeremy Gourd (FUTURE),2,2037,884889,FUTR,ceff00,0000ef,-,-,-,-,-,-,00:16:20,2037,2,-,-,-,-,-,-,00:16:20
Jan Ivar  Bringedal [V],2,2020,150473,Vikings,c2c2c2,0073b7,-,-,-,-,-,-,00:17:19,2020,2,-,-,-,-,-,-,00:17:19
Tonne (DIRT),3,1741,3029902,DIRT,29ec34,211208,-,-,-,-,-,-,00:18:58,1741,3,-,-,-,-,-,-,00:18:58
Alexey Tikhov (B),3,1661,4752321,MTBtraining,f72d04,ffffff,-,-,-,-,-,-,00:20:18,1657,3,01:27:14,1661,3,-,-,-,01:47:32
Alex Leonard,5,1344,7775038,-,00dd00,,-,-,-,-,-,-,00:20:58,1344,5,-,-,-,-,-,-,00:20:58
Connor Wilm,6,1183,6856298,-,00dd00,,-,-,-,-,-,-,00:22:44,1183,6,-,-,-,-,-,-,00:22:44
Prz Luca,6,1221,113124,-,00dd00,,-,-,-,-,-,-,00:20:25,1221,6,-,-,-,-,-,-,00:20:25
Stefaan Lampaert,8,898,1607886,BZR eCycling Club,ffe903,111111,-,-,-,-,-,-,00:22:34,898,8,-,-,-,-,-,-,00:22:34
Julia Umbrello [eSRT],8,922,5338314,eSRT,40bad1,000000,-,-,-,-,-,-,00:22:55,922,8,-,-,-,-,-,-,00:22:55
Austin H,9,735,2702018,-,00dd00,,-,-,-,-,-,-,00:24:28,735,9,-,-,-,-,-,-,00:24:28
Ian Lovely,9,808,4744093,-,00dd00,,-,-,-,-,-,-,00:26:35,808,9,-,-,-,-,-,-,00:26:35
John Rae,10,485,7932168,-,00dd00,,-,-,-,-,-,-,00:27:07,485,10,-,-,-,-,-,-,00:27:07
Philip Gkikas CAAT &#128076;,10,368,2522641,-,00dd00,,-,-,-,-,-,-,00:28:26,368,10,-,-,-,-,-,-,00:28:26
Markel Sierra,1,2565,6172013,Team RWB,ffffff,11534e,-,-,-,-,-,-,00:16:54,2565,1,-,-,-,-,-,-,00:16:54
T Ired (DIRTy Rascals Rogue),2,1961,772499,DIRT,29ec34,211208,-,-,-,-,-,-,00:17:55,1961,2,-,-,-,-,-,-,00:17:55
Steffen Schulz (HCH.CC),4,1563,42498,HCH.CC,000080,ffff00,-,-,-,-,-,-,00:19:06,1563,4,-,-,-,-,-,-,00:19:06
Ian Stokes,8,987,7291113,Team Not Pogi,ff0000,ffffff,-,-,-,-,-,-,00:22:09,987,8,-,-,-,-,-,-,00:22:09
FELIX CALVO POO,9,804,4812330,-,00dd00,,-,-,-,-,-,-,00:22:39,804,9,-,-,-,-,-,-,00:22:39
Daniel Pink,1,2852,1627974,Bol,ffffff,0073b7,-,-,-,-,-,-,00:16:00,2852,1,-,-,-,-,-,-,00:16:00
anas samman,5,1351,8436825,-,00dd00,,-,-,-,-,-,-,00:18:14,1351,5,-,-,-,-,-,-,00:18:14
Takuma Kanehira,7,1076,6740030,-,00dd00,,-,-,-,-,-,-,00:19:36,1076,7,-,-,-,-,-,-,00:19:36
Kashiwa no Ha Campus Seikeigeka,5,1363,134456,-,00dd00,,-,-,-,-,-,-,00:22:08,1363,5,-,-,-,-,-,-,00:22:08
K.O.&#128048;[TMR],5,1393,5244607,-,00dd00,,-,-,-,-,-,-,00:38:31,1393,5,-,-,-,-,-,-,00:38:31
