rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Fabio Capodei [SISU],8,856,4266511,SISU Racing,ffffff,1f1582,-,-,-,-,-,-,-,-,-,01:55:13,856,8,-,-,-,01:55:13
Sean Dailey,1,2677,551676,Wahoo Esports,ffffff,c6007e,-,-,-,-,-,-,-,-,-,01:12:40,2677,1,-,-,-,01:12:40
Sebasti&aacute;n Carvacho (Cryo-Gen),1,2531,5101295,Team CRYO-GEN,ffffff,009fe3,-,-,-,-,-,-,-,-,-,01:13:30,2531,1,-,-,-,01:13:30
First &#37030;&#36784; &#36786;&#23567;&#33775;,1,2492,3460639,-,00dd00,,-,-,-,-,-,-,-,-,-,01:14:20,2492,1,-,-,-,01:14:20
Devon Main (Rouleur 1),1,2408,1263332,Rouleur 1,ffffff,700909,-,-,-,-,-,-,-,-,-,01:15:51,2408,1,-,-,-,01:15:51
B Brave,1,2495,2183877,-,00dd00,,-,-,-,-,-,-,-,-,-,01:16:31,2495,1,-,-,-,01:16:31
Anton Breuste HRC1912,1,2298,1352726,FxCancerTeam,ffffff,000000,-,-,-,-,-,-,-,-,-,01:16:50,2298,1,-,-,-,01:16:50
Angel   Diaz,2,2136,1256808,Team Not Pogi,ff0000,ffffff,-,-,-,-,-,-,-,-,-,01:17:11,2136,2,-,-,-,01:17:11
Eric Sorenson [DRAFT],1,2227,50641,[DRAFT],ffffff,f70707,-,-,-,-,-,-,-,-,-,01:21:59,2227,1,-,-,-,01:21:59
Servio Medina,3,1695,1666675,KISS RT,f56600,012350,-,-,-,-,-,-,-,-,-,01:26:26,1695,3,-,-,-,01:26:26
Tomas Felipe Valdebenito Castro 5660,4,1512,1219546,-,00dd00,,-,-,-,-,-,-,-,-,-,01:29:44,1512,4,-,-,-,01:29:44
Jos&eacute; Ignacio URZUA,7,1053,4127743,Velo&#039;Z,ffffff,0073b7,-,-,-,-,-,-,-,-,-,01:33:55,1053,7,-,-,-,01:33:55
clau,5,1309,1938175,Team Not Pogi,ff0000,ffffff,-,-,-,-,-,-,-,-,-,01:34:54,1309,5,-,-,-,01:34:54
PAUL      ZU&Ntilde;IGA,6,1283,3224040,-,00dd00,,-,-,-,-,-,-,-,-,-,01:35:11,1283,6,-,-,-,01:35:11
- TecK,7,1072,5766186,-,00dd00,,-,-,-,-,-,-,-,-,-,01:47:43,1072,7,-,-,-,01:47:43
David Whitfield &#127482;&#127480; &#127482;&#127462;,1,2768,637897,-,00dd00,,-,-,-,-,-,-,-,-,-,01:14:39,2768,1,-,-,-,01:14:39
J  Hauser (Seattle),10,579,77619,-,00dd00,,-,-,-,-,-,-,-,-,-,02:37:40,579,10,-,-,-,02:37:40
Jorelle  Hernandez (TZP),4,1581,4879864,TZP,ffffff,000508,00:37:15,1581,4,-,-,-,-,-,-,-,-,-,-,-,-,00:37:15
David Iba&ntilde;ez  (HISP),5,1406,2959735,HISP,ff0055,00ffc3,00:38:09,1406,5,-,-,-,-,-,-,-,-,-,-,-,-,00:38:09
Scott Henderson (BON - GXY),6,1290,288798,[GALAXY],ffffff,7014f2,00:38:06,1290,6,-,-,-,-,-,-,-,-,-,-,-,-,00:38:06
Sam Park &#127475;&#127487;,6,1287,368568,Innovation,000000,52ff33,00:38:58,1287,6,-,-,-,-,-,-,-,-,-,-,-,-,00:38:58
Matt Jones,9,786,687504,-,00dd00,,00:44:04,786,9,-,-,-,-,-,-,-,-,-,-,-,-,00:44:04
@ arrows,9,821,426099,-,00dd00,,00:45:17,821,9,-,-,-,-,-,-,-,-,-,-,-,-,00:45:17
Kim Bryan &#127800;,9,759,5689173,[GALAXY],ffffff,7014f2,00:45:42,759,9,-,-,-,-,-,-,-,-,-,-,-,-,00:45:42
